# distance [Angstrom]   occurrence (total=292)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          121
1.014286                           13
1.066071                           13
1.117857                            5
1.169643                            4
1.221429                            2
1.273214                            2
1.325000                            0
1.376786                            8
1.428571                            5
1.480357                            4
1.532143                            1
1.583929                            0
1.635714                            3
1.687500                            1
1.739286                            0
1.791071                            1
1.842857                            2
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            1
2.101786                            0
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            1
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            0
2.930357                            2
2.982143                            2
3.033929                           20
3.085714                           15
3.137500                           20
3.189286                           19
3.241071                           11
3.292857                            2
3.344643                            3
3.396429                            8
3.448214                            2
3.500000                            1
