# q1 [Angstrom]    q2 [Angstrom]
  -0.2920118993    2.5951911694
  -0.2263285827    2.5064102776
  -0.2260410503    2.5060388142
  -0.1319406319    2.4275310043
  -0.1506240301    2.4416117423
  -0.2368929493    2.5263734099
  -0.2600122608    2.5524543929
  -0.0794011845    2.4075380140
   0.0000000000    1.9354837591
  -0.0793466393    2.4076587516
  -0.0540810330    2.3980988885
   0.0000000000    1.9345287585
  -0.1947644158    2.4756566781
  -0.1946149719    2.4754894603
   0.0000000000    1.9279262454
   0.0000000000    1.9286923786
  -0.3777441251    2.7275868943
   0.0000000000    1.9324669658
   0.0000000000    1.9328257985
  -0.4378530074    2.8310658641
  -0.1328024565    2.4259457970
  -0.4340016471    2.8189710054
  -0.4187077171    2.7981554387
   0.0000000000    1.9325638254
   0.0000000000    1.9319550309
  -0.2793521486    2.5812157977
  -0.1647279976    2.4497881163
  -0.1732196861    2.4581328229
  -0.1731620270    2.4580865969
  -0.2283613719    2.5135916450
   0.0000000000    1.9329140595
  -0.2282972762    2.5135220367
   0.0000000000    1.9329135669
  -0.1126242374    2.4192434229
  -0.1197111861    2.4208223869
  -0.3139502511    2.6277146783
  -0.2171385294    2.5151515606
   0.0000000000    1.9418154125
  -0.1205027875    2.4213480741
  -0.1121446717    2.4189938214
  -0.3150072625    2.6294100225
   0.0000000000    1.9373307141
  -0.2310246255    2.5151524346
  -0.2271658235    2.5105051226
   0.0000000000    1.9271887593
   0.0000000000    1.9279882178
  -0.2586270928    2.5556176679
  -0.1368985448    2.4322319620
  -0.2042391122    2.4831912057
  -0.2888901286    2.5920544417
  -0.2477649863    2.5523770902
  -0.1614331329    2.4642412041
  -0.1551531225    2.4453550389
   0.0000000000    1.9277441612
   0.0000000000    1.9284538098
  -0.2545643523    2.5462254997
   0.0000000000    1.9348793828
  -0.1832441205    2.4685670887
  -0.1502920083    2.4389821782
  -0.3131914995    2.6237383682
  -0.2265945615    2.5111449668
  -0.1724586766    2.4576643657
   0.0000000000    1.9268518099
   0.0000000000    1.9279110357
  -0.1859391712    2.4699053575
  -0.1692515825    2.4561593995
  -0.1044321165    2.4164555253
   0.0000000000    1.9319487224
   0.0000000000    1.9321733571
  -0.1052789869    2.4168546763
   0.0000000000    1.9321401342
   0.0000000000    1.9319218255
  -0.1496821191    2.4408845297
  -0.1437803292    2.4384233365
   0.0000000000    1.9303666800
   0.0000000000    1.9302541863
  -0.2186277618    2.5002916081
  -0.2172423546    2.4996377326
  -0.1148577301    2.4174197197
  -0.0270270570    2.3896505511
   0.0000000000    1.9344714211
   0.0000000000    1.9343398961
  -0.4741882634    2.8957645007
  -0.1508781913    2.4415762736
  -0.4743436361    2.8960633125
  -0.1510259009    2.4416718348
  -0.1938411628    2.4779457056
  -0.2855813323    2.5891925364
  -0.1898914693    2.4711024595
  -0.2157016926    2.4967409877
  -0.1674563441    2.4519871210
   0.0000000000    1.9282507777
   0.0000000000    1.9289340850
  -0.4799510837    2.9020564708
   0.0000000000    1.9382328509
  -0.2279553780    2.5075870429
  -0.2270962474    2.5066429789
  -0.1441082878    2.4356134969
  -0.3688672320    2.7089998050
  -0.1544068493    2.4444265211
  -0.2964622784    2.6023053039
  -0.1993828921    2.4784807633
  -0.2007460951    2.4799775156
  -0.1997121966    2.4789769744
  -0.2007737060    2.4800075576
  -0.1997130614    2.4789808983
   0.0000000000    1.9275171775
   0.0000000000    1.9283181349
  -0.3832519946    2.7083467447
  -0.4393247767    2.8359322732
  -0.0086493187    2.3920137484
   0.0000000000    1.9304723926
  -0.2120962385    2.4927109497
  -0.3182827813    2.6359285329
   0.0000000000    1.9319775039
   0.0000000000    1.9325948676
  -0.1294188278    2.4282596019
   0.0000000000    1.9285935396
   0.0000000000    1.9296892644
  -0.3009053077    2.6102246400
  -0.2888933934    2.5909656976
  -0.4177532583    2.7965123116
  -0.4350716244    2.8208566446
  -0.1340519957    2.4267089810
  -0.1302088107    2.4272957498
  -0.1284163489    2.4262642880
   0.0000000000    1.9310307161
   0.0000000000    1.9310325668
